id,district_id,date,statement_frequency
1,18,3/24/95,monthly
2,1,2/26/93,monthly
3,5,7/7/97,monthly
4,12,2/21/96,monthly
5,15,5/30/97,monthly
6,51,9/27/94,monthly
7,60,11/24/96,monthly
8,57,9/21/95,monthly
9,70,1/27/93,monthly
10,54,8/28/96,monthly
11,76,10/10/95,monthly
12,21,4/15/97,monthly
13,76,8/17/97,monthly
14,47,11/27/96,monthly
15,70,10/2/93,monthly
16,12,9/23/97,monthly
17,1,1/8/97,monthly
19,21,4/7/95,monthly
20,74,8/24/96,monthly
21,54,12/6/97,monthly
22,1,3/23/94,monthly
23,30,5/22/93,monthly
24,74,12/5/96,monthly
25,68,7/28/96,monthly
26,52,8/8/93,monthly
27,73,9/26/93,monthly
29,7,11/24/94,monthly
30,36,3/4/95,monthly
31,68,4/27/94,monthly
32,5,8/28/95,monthly
33,22,8/26/93,monthly
35,75,7/7/93,monthly
36,1,7/1/93,monthly
37,20,8/18/97,monthly
39,36,9/22/93,monthly
40,64,10/25/93,monthly
41,72,8/2/97,monthly
42,39,8/16/96,monthly
43,36,6/12/94,monthly
44,32,5/10/93,monthly
45,64,9/2/97,monthly
47,45,8/8/93,monthly
48,21,11/17/96,monthly
49,1,4/6/97,monthly
50,1,5/6/94,monthly
51,67,5/11/96,monthly
52,16,1/29/97,monthly
53,77,6/7/95,monthly
54,4,5/2/95,monthly
55,20,2/19/96,monthly
56,50,5/16/94,monthly
57,1,5/21/95,monthly
58,29,8/23/96,monthly
59,43,3/27/94,monthly
61,70,12/11/93,monthly
62,47,3/28/93,monthly
63,22,11/16/96,monthly
64,64,3/11/97,monthly
65,36,10/29/96,monthly
67,16,10/19/94,monthly
69,64,1/12/96,monthly
70,8,2/18/95,monthly
71,1,3/5/94,monthly
73,72,11/8/93,monthly
75,1,8/13/95,monthly
76,52,5/16/96,monthly
77,63,11/19/96,monthly
78,74,7/7/93,monthly
79,3,11/29/96,monthly
80,43,9/27/95,monthly
81,74,7/18/96,monthly
82,26,5/3/94,monthly
